Year,SUNY Institution,Sector,All Employees Total ,All Employees Full-Time,All Employees Part-Time,Faculty Total, Faculty Full-Time,Faculty  Part-Time,Professional Employees Non-Faculty  Total,Professional Employees Non-Faculty  Full-Time,Professional Employees Non-Faculty  Part-Time,Other Employees Total,Other Employees Full-Time,Other Employees Part-Time
2016,Adirondack Community College,Community Colleges,427,212,215,256,90,166,91,55,36,80,67,13
2016,Broome Community College,Community Colleges,831,404,427,439,165,274,240,125,115,152,114,38
2016,Cayuga County Community College,Community Colleges,362,161,201,172,42,130,118,74,44,72,45,27
2016,Clinton Community College,Community Colleges,179,108,71,100,42,58,50,41,9,29,25,4
2016,College of Tech & Ag at Cobleskill,Technology Colleges,505,383,122,175,104,71,187,140,47,143,139,4
2016,College of Tech & Ag at Morrisville,Technology Colleges,610,450,160,232,140,92,199,152,47,179,158,21
2016,College of Tech at Alfred,Technology Colleges,621,530,91,230,167,63,195,169,26,196,194,2
2016,College of Tech at Canton,Technology Colleges,546,392,154,227,126,101,197,148,49,122,118,4
2016,College of Tech at Delhi,Technology Colleges,543,411,132,242,146,96,139,119,20,162,146,16
2016,College of Tech at Farmingdale,Technology Colleges,1394,683,711,759,228,531,361,221,140,274,234,40
2016,Columbia-Greene Community College,Community Colleges,241,134,107,89,44,45,97,63,34,55,27,28
2016,Cornell Statutory Colleges,Doctoral Institutions,4399,3407,992,1201,1112,89,2085,1239,846,1113,1056,57
2016,Corning Community College,Community Colleges,418,225,193,220,84,136,93,72,21,105,69,36
2016,Downstate Medical Center,Doctoral Institutions,3890,3550,340,693,526,167,2379,2223,156,818,801,17
2016,Dutchess Community College,Community Colleges,914,358,556,554,128,426,212,122,90,148,108,40
2016,Erie Community College,Community Colleges,1717,736,981,910,298,612,324,213,111,483,225,258
2016,Fashion Institute of Technology,Community Colleges,1820,797,1023,1116,232,884,391,311,80,313,254,59
2016,Finger Lakes Community College,Community Colleges,546,322,224,313,117,196,145,124,21,88,81,7
2016,Fulton-Montgomery Community College,Community Colleges,286,157,129,118,54,64,124,59,65,44,44,0
2016,Genesee Community College,Community Colleges,631,300,331,309,89,220,211,127,84,111,84,27
2016,Herkimer County Community College,Community Colleges,320,186,134,128,63,65,101,50,51,91,73,18
2016,Hudson Valley Community College,Community Colleges,1068,594,474,594,232,362,226,155,71,248,207,41
2016,Jamestown Community College,Community Colleges,517,219,298,306,72,234,82,72,10,129,75,54
2016,Jefferson Community College,Community Colleges,432,212,220,242,77,165,121,75,46,69,60,9
2016,Mohawk Valley Community College,Community Colleges,803,417,386,350,132,218,309,160,149,144,125,19
2016,Monroe Community College,Community Colleges,1611,876,735,754,295,459,450,311,139,407,270,137
2016,Nassau Community College,Community Colleges,2406,1021,1385,1412,425,987,527,287,240,467,309,158
2016,Niagara County Community College,Community Colleges,666,301,365,350,104,246,189,87,102,127,110,17
2016,North Country Community College,Community Colleges,181,102,79,104,41,63,48,41,7,29,20,9
2016,N.Y. State College of Ceramics,Doctoral Institutions,149,124,25,54,44,10,55,43,12,40,37,3
2016,Onondaga Community College,Community Colleges,1289,616,673,615,180,435,454,267,187,220,169,51
2016,Orange County Community College,Community Colleges,1227,428,799,410,149,261,526,153,373,291,126,165
2016,Rockland Community College,Community Colleges,963,395,568,517,105,412,240,143,97,206,147,59
2016,Schenectady County Community College,Community Colleges,492,197,295,219,59,160,176,78,98,97,60,37
2016,State College of Optometry,Doctoral Institutions,351,271,80,128,65,63,130,115,15,93,91,2
2016,S.U. College at Brockport,Comprehensive Colleges,1395,962,433,632,346,286,415,296,119,348,320,28
2016,S.U. College at Buffalo,Comprehensive Colleges,1849,1239,610,829,381,448,596,450,146,424,408,16
2016,S.U. College at Cortland,Comprehensive Colleges,1359,926,433,593,302,291,374,271,103,392,353,39
2016,S.U. College at Fredonia,Comprehensive Colleges,965,671,294,443,257,186,277,193,84,245,221,24
2016,S.U. College at Geneseo,Comprehensive Colleges,927,743,184,358,252,106,274,208,66,295,283,12
2016,S.U. College at New Paltz,Comprehensive Colleges,1495,1038,457,678,372,306,451,318,133,366,348,18
